id,address,power,heart_rate,step,temperature,systolic_pressure,diastolic_pressure,accx,accy,accz,gyroscopex,gyroscopey,gyroscopez,stay,sos,elock_open_illegal_warn,timestamp,bs_address,sample_time,sample_batch
10458,03D2C30A,NULL,NULL,661,NULL,NULL,NULL,449,1249,-15616,8,47,114,0,NULL,NULL,1677128569883,01370022,"2023-02-23,13:02:50",90
10459,03D2C30A,NULL,NULL,661,NULL,NULL,NULL,1121,1681,-15638,-63,16,14,1,NULL,NULL,1677128570018,01370022,"2023-02-23,13:02:50",90
10460,03D2C30A,NULL,NULL,661,NULL,NULL,NULL,2413,2411,-16919,-34,-61,-210,0,NULL,NULL,1677128570768,01370022,"2023-02-23,13:02:51",90
10461,03D2C30A,NULL,NULL,661,NULL,NULL,NULL,1620,2077,-18408,255,271,-151,0,NULL,NULL,1677128570894,01370022,"2023-02-23,13:02:51",90
10462,03D2C30A,NULL,NULL,661,NULL,NULL,NULL,-1048,-600,-14894,-23,231,-182,0,NULL,NULL,1677128571038,01370022,"2023-02-23,13:02:51",90
10463,03D2C30A,NULL,NULL,661,NULL,NULL,NULL,97,361,-14502,-14,154,-270,0,NULL,NULL,1677128571159,01370022,"2023-02-23,13:02:51",90
10464,03D2C30A,NULL,NULL,661,NULL,NULL,NULL,2965,116,-14775,9,8,-195,0,NULL,NULL,1677128571283,01370022,"2023-02-23,13:02:51",90
10465,03D2C30A,NULL,NULL,661,NULL,NULL,NULL,3091,-257,-14531,-26,136,-102,1,NULL,NULL,1677128571398,01370022,"2023-02-23,13:02:51",90
10466,03D2C30A,NULL,NULL,661,NULL,NULL,NULL,3828,944,-14858,-200,-52,-184,0,NULL,NULL,1677128571521,01370022,"2023-02-23,13:02:51",90
10467,03D2C30A,NULL,NULL,661,NULL,NULL,NULL,-1180,493,-18272,-155,-52,216,0,NULL,NULL,1677128571760,01370022,"2023-02-23,13:02:52",90
10468,03D2C30A,NULL,NULL,661,NULL,NULL,NULL,-637,2375,-16064,73,29,23,0,NULL,NULL,1677128571872,01370022,"2023-02-23,13:02:52",90
10469,03D2C30A,NULL,NULL,661,NULL,NULL,NULL,878,3136,-14503,-106,50,38,0,NULL,NULL,1677128572003,01370022,"2023-02-23,13:02:52",90
10470,03D2C30A,NULL,NULL,661,NULL,NULL,NULL,2533,2128,-14611,56,137,53,0,NULL,NULL,1677128572148,01370022,"2023-02-23,13:02:52",90
10471,03D2C30A,NULL,NULL,661,NULL,NULL,NULL,2458,2282,-15324,60,35,19,1,NULL,NULL,1677128572266,01370022,"2023-02-23,13:02:52",90
10472,03D2C30A,NULL,NULL,661,NULL,NULL,NULL,616,1977,-18870,402,-214,-240,0,NULL,NULL,1677128572385,01370022,"2023-02-23,13:02:52",90
10473,03D2C30A,NULL,NULL,661,NULL,NULL,NULL,420,1432,-15658,19,-235,-264,0,NULL,NULL,1677128572500,01370022,"2023-02-23,13:02:52",90
10474,03D2C30A,NULL,NULL,661,NULL,NULL,NULL,1275,2518,-13224,-227,-45,-416,0,NULL,NULL,1677128572633,01370022,"2023-02-23,13:02:53",90
10475,03D2C30A,NULL,NULL,661,NULL,NULL,NULL,130,4060,-15085,-444,-192,51,0,NULL,NULL,1677128572762,01370022,"2023-02-23,13:02:53",90
10476,03D2C30A,NULL,NULL,661,NULL,NULL,NULL,1439,2080,-17163,-331,-15,292,0,NULL,NULL,1677128572890,01370022,"2023-02-23,13:02:53",90
10477,03D2C30A,NULL,NULL,661,NULL,NULL,NULL,2254,4068,-17166,-23,293,217,0,NULL,NULL,1677128573002,01370022,"2023-02-23,13:02:53",90
10478,03D2C30A,NULL,NULL,661,NULL,NULL,NULL,-875,4051,-14506,-211,-25,399,0,NULL,NULL,1677128573132,01370022,"2023-02-23,13:02:53",90
10479,03D2C30A,NULL,NULL,661,NULL,NULL,NULL,-790,2711,-14699,119,43,-57,0,NULL,NULL,1677128573262,01370022,"2023-02-23,13:02:53",90
10480,03D2C30A,NULL,NULL,661,NULL,NULL,NULL,1014,2905,-14488,76,-14,17,0,NULL,NULL,1677128573375,01370022,"2023-02-23,13:02:53",90
10481,03D2C30A,NULL,NULL,661,NULL,NULL,NULL,2602,2762,-15912,203,-32,-33,0,NULL,NULL,1677128573518,01370022,"2023-02-23,13:02:53",90
10482,03D2C30A,NULL,NULL,661,NULL,NULL,NULL,3774,3277,-15880,159,107,-132,0,NULL,NULL,1677128573655,01370022,"2023-02-23,13:02:54",90
10483,03D2C30A,NULL,NULL,661,NULL,NULL,NULL,-90,-718,-14815,-21,79,-158,0,NULL,NULL,1677128573908,01370022,"2023-02-23,13:02:54",90
10484,03D2C30A,NULL,NULL,661,NULL,NULL,NULL,2142,1911,-15621,-45,34,125,0,NULL,NULL,1677128574167,01370022,"2023-02-23,13:02:54",90
10485,03D2C30A,NULL,NULL,661,NULL,NULL,NULL,1779,2462,-17638,-135,35,70,0,NULL,NULL,1677128574284,01370022,"2023-02-23,13:02:54",90
10486,03D2C30A,NULL,NULL,661,NULL,NULL,NULL,-2787,3893,-19058,-92,-145,212,0,NULL,NULL,1677128574420,01370022,"2023-02-23,13:02:54",90
10487,03D2C30A,NULL,NULL,661,NULL,NULL,NULL,-1230,2912,-15855,26,-152,77,0,NULL,NULL,1677128574546,01370022,"2023-02-23,13:02:54",90
10488,03D2C30A,NULL,NULL,661,NULL,NULL,NULL,1011,2193,-13965,-19,-16,14,0,NULL,NULL,1677128574679,01370022,"2023-02-23,13:02:55",90
10489,03D2C30A,NULL,NULL,661,NULL,NULL,NULL,2012,3013,-15385,73,60,-111,0,NULL,NULL,1677128574816,01370022,"2023-02-23,13:02:55",90
10490,03D2C30A,NULL,NULL,661,NULL,NULL,NULL,1313,3145,-16593,156,158,-137,0,NULL,NULL,1677128574958,01370022,"2023-02-23,13:02:55",90
10491,03D2C30A,NULL,NULL,661,NULL,NULL,NULL,-2535,1575,-17048,138,-79,-192,0,NULL,NULL,1677128575091,01370022,"2023-02-23,13:02:55",90
10492,03D2C30A,NULL,NULL,661,NULL,NULL,NULL,-1532,442,-17493,-4,-37,-74,0,NULL,NULL,1677128575213,01370022,"2023-02-23,13:02:55",90
10493,03D2C30A,NULL,NULL,661,NULL,NULL,NULL,1690,1875,-13820,-72,141,-110,0,NULL,NULL,1677128575337,01370022,"2023-02-23,13:02:55",90
10494,03D2C30A,NULL,NULL,661,NULL,NULL,NULL,1511,2272,-15198,-188,141,0,0,NULL,NULL,1677128575467,01370022,"2023-02-23,13:02:55",90
10495,03D2C30A,NULL,NULL,661,NULL,NULL,NULL,3337,2558,-15389,-149,214,103,0,NULL,NULL,1677128575591,01370022,"2023-02-23,13:02:56",90
10496,03D2C30A,NULL,NULL,661,NULL,NULL,NULL,2295,4128,-17868,-194,143,61,0,NULL,NULL,1677128575714,01370022,"2023-02-23,13:02:56",90
